"Country"	"Year"	"Sample_number"	"N_before_subsampling"	"N_after_subsampling"	"D"	"Pval.normal"	"Pval.beta"	"pi"
"Bangladesh"	2013	"1"	19	15	-4.45771952868714	8.28361867873931e-06	0	3.61441605916485e-06
"Bangladesh"	2013	"2"	19	15	-4.45768666225431	8.28488847611559e-06	0	3.03023627862861e-06
"Bangladesh"	2013	"3"	19	15	-4.45723020051541	8.30254316026189e-06	0	1.39703188267434e-05
"Bangladesh"	2013	"4"	19	15	-4.45328325875707	8.45670704412209e-06	0	2.2097040724831e-05
"Bangladesh"	2013	"5"	19	15	-4.44884074781255	8.63349975848025e-06	0	2.94024615431041e-05
"Bangladesh"	2013	"6"	19	15	-4.4577482272816	8.2825100582814e-06	0	1.29642533631386e-05
"Bangladesh"	2013	"7"	19	15	-4.45749873148484	8.29215277129251e-06	0	3.00299715527255e-06
"Bangladesh"	2013	"8"	19	15	-4.45702793831605	8.31037759760617e-06	0	1.28278305914531e-05
"Bangladesh"	2013	"9"	19	15	-4.4576018034759	8.28816786248699e-06	0	1.32101908365935e-05
"India"	2013	"0"	20	15	-4.46234876029042	8.10661426248025e-06	0	2.9392121647835e-06
"India"	2013	"1"	20	15	-4.45996663976962	8.19724113074466e-06	0	2.14982979821917e-06
"India"	2013	"2"	20	15	-4.46186582363358	8.12490964794055e-06	0	1.8110151240376e-06
"India"	2013	"3"	20	15	-4.45798488179612	8.27337355084112e-06	0	2.16324752089331e-06
"India"	2013	"4"	20	15	-4.46037491258102	8.18164008436581e-06	0	2.17077581327456e-06
"India"	2013	"5"	20	15	-4.46152196477936	8.13796031283634e-06	0	1.52545388486901e-06
"India"	2013	"6"	20	15	-4.46189618491374	8.1237582912285e-06	0	2.567838560286e-06
"India"	2013	"7"	20	15	-4.46299478948289	8.08220190977928e-06	0	1.57053196065877e-06
"India"	2013	"8"	20	15	-4.46313818252027	8.07679286729891e-06	0	1.76625156405979e-06
"India"	2013	"9"	20	15	-4.45871046385014	8.24542105421281e-06	0	2.64815052458909e-06
"Bangladesh"	2014	"0"	123	15	-4.45375490300781	8.43814213867861e-06	0	3.29872631723122e-06
"Bangladesh"	2014	"1"	123	15	-4.45649117928003	8.33120272991946e-06	0	6.27864818628146e-06
"Bangladesh"	2014	"2"	123	15	-4.45655008013879	8.32891506516817e-06	0	3.63466693892379e-06
"Bangladesh"	2014	"3"	123	15	-4.44552217324013	8.76786364565848e-06	0	3.28801949028516e-06
"Bangladesh"	2014	"4"	123	15	-4.44805264572522	8.66522945494917e-06	0	3.32792216122009e-06
"Bangladesh"	2014	"5"	123	15	-4.45875972128946	8.24352672457322e-06	0	3.15443701737236e-06
"Bangladesh"	2014	"6"	123	15	-4.45412913365102	8.42343935876965e-06	0	3.1220911991956e-06
"Bangladesh"	2014	"7"	123	15	-4.45696887172282	8.31266681965729e-06	0	5.78180744904915e-06
"Bangladesh"	2014	"8"	123	15	-4.44896720150304	8.62841896823773e-06	0	3.41112669209202e-06
"Bangladesh"	2014	"9"	123	15	-4.45577592050925	8.35903081082658e-06	0	1.31045629025427e-05
"India"	2014	"0"	30	15	-4.45534973595507	8.37565429640028e-06	0	8.26205347395525e-06
"India"	2014	"1"	30	15	-4.45731957618037	8.299083526762e-06	0	6.12029678731498e-06
"India"	2014	"2"	30	15	-4.4546614341326	8.40256850516891e-06	0	3.19825346019299e-06
"India"	2014	"3"	30	15	-4.45853245154228	8.25227047432071e-06	0	3.36332527164858e-06
"India"	2014	"4"	30	15	-4.45950282089401	8.21499922248819e-06	0	2.80794790389262e-06
"India"	2014	"5"	30	15	-4.45547817475132	8.37064117036516e-06	0	3.55137777865502e-06
"India"	2014	"6"	30	15	-4.45787670979862	8.2775485450672e-06	0	5.47962411688347e-06
"India"	2014	"7"	30	15	-4.45850628047773	8.25327792277592e-06	0	5.24940596795701e-06
"India"	2014	"8"	30	15	-4.45691248242836	8.31485284100466e-06	0	3.27060026257934e-06
"India"	2014	"9"	30	15	-4.4590390241956	8.23279323137943e-06	0	2.82110761533757e-06
"Bangladesh"	2015	"0"	158	15	-4.4584356466486	8.25599754085861e-06	0	2.47963780854893e-06
"Bangladesh"	2015	"1"	158	15	-4.45618916608462	8.34294213150134e-06	0	6.30960209418651e-06
"Bangladesh"	2015	"2"	158	15	-4.45808264466057	8.26960203797155e-06	0	6.2627725328495e-06
"Bangladesh"	2015	"3"	158	15	-4.44577977934275	8.7573624475e-06	0	2.92067685855904e-06
"Bangladesh"	2015	"4"	158	15	-4.44110059500536	8.94999408757578e-06	0	3.54123405608211e-06
"Bangladesh"	2015	"5"	158	15	-4.44879361066713	8.63539441605201e-06	0	2.21202655398711e-06
"Bangladesh"	2015	"6"	158	15	-4.45883050100239	8.24080542533377e-06	0	2.22084044765231e-06
"Bangladesh"	2015	"7"	158	15	-4.44538229054828	8.7735709414772e-06	0	3.2589465350277e-06
"Bangladesh"	2015	"8"	158	15	-4.45593611538896	8.35279050874049e-06	0	6.51538306423362e-06
"Bangladesh"	2015	"9"	158	15	-4.45355845843153	8.44586987038105e-06	0	4.83388260293404e-06
"India"	2015	"0"	68	15	-4.46199943876566	8.11984387841342e-06	0	1.87782478078904e-06
"India"	2015	"1"	68	15	-4.42551672820048	9.62117003147893e-06	0	2.70547620918948e-06
"India"	2015	"2"	68	15	-4.46068868501261	8.16966940800274e-06	0	2.86215244167363e-06
"India"	2015	"3"	68	15	-4.45832978058949	8.26007531149478e-06	0	5.57478410317434e-06
"India"	2015	"4"	68	15	-4.45663059475911	8.32578890958854e-06	0	2.61493588944786e-06
"India"	2015	"5"	68	15	-4.4585347400579	8.25218238408459e-06	0	1.7648050228704e-06
"India"	2015	"6"	68	15	-4.45906998264439	8.23160433396091e-06	0	2.54024178671155e-06
"India"	2015	"7"	68	15	-4.45867431800608	8.24681140626084e-06	0	2.95794168718647e-06
"India"	2015	"8"	68	15	-4.45784515594371	8.27876677343318e-06	0	2.79858383585068e-06
"India"	2015	"9"	68	15	-4.46180529457463	8.12720548891446e-06	0	2.60601734617266e-06
"Bangladesh"	2016	"0"	321	15	-4.453797529782	8.43646618025805e-06	0	2.03927534277339e-06
"Bangladesh"	2016	"1"	321	15	-4.44495596789589	8.79098706182802e-06	0	1.34944967388788e-06
"Bangladesh"	2016	"2"	321	15	-4.45890431054162	8.23796855162043e-06	0	2.1393480587611e-06
"Bangladesh"	2016	"3"	321	15	-4.45716351969286	8.30512519926649e-06	0	5.2955438993767e-06
"Bangladesh"	2016	"4"	321	15	-4.4415944370005	8.92947417303101e-06	0	1.7009202931888e-06
"Bangladesh"	2016	"5"	321	15	-4.45373306091999	8.43900102813052e-06	0	1.57913944087268e-06
"Bangladesh"	2016	"6"	321	15	-4.43777157647186	9.08950028000662e-06	0	2.13654199895212e-06
"Bangladesh"	2016	"7"	321	15	-4.44560940819101	8.76430620490805e-06	0	1.58355368067361e-06
"Bangladesh"	2016	"8"	321	15	-4.44518741308496	8.78152797467826e-06	0	1.56407908599715e-06
"Bangladesh"	2016	"9"	321	15	-4.45698911214581	8.31188230121414e-06	0	5.29073212226705e-06
"India"	2016	"0"	36	15	-4.46120072572966	8.15017057831062e-06	0	2.67169248455181e-06
"India"	2016	"1"	36	15	-4.45671890282887	8.32236144596956e-06	0	4.59613933278729e-06
"India"	2016	"2"	36	15	-4.44823151193882	8.65801837957202e-06	0	3.74600890809232e-06
"India"	2016	"3"	36	15	-4.46034013841321	8.18296777903447e-06	0	3.68499230018584e-06
"India"	2016	"4"	36	15	-4.45713933994216	8.30606168595366e-06	0	2.84917105277458e-06
"India"	2016	"5"	36	15	-4.45937097642157	8.22005381987254e-06	0	3.1728939376213e-06
"India"	2016	"6"	36	15	-4.45956213297716	8.21272631005126e-06	0	3.13853501032056e-06
"India"	2016	"7"	36	15	-4.45756331615066	8.28965562267753e-06	0	3.39251436780919e-06
